"SampleTime","Facility","Species","Adipose Clip","LAD_Race","Count Duration (minutes)","Pumping Duration (minutes)","SampleFraction","Study Type","Length","ExpandedSalvage","LAD_Loss","duplicateID","ID","GeneticID","PosProb","Ots28","Wateryear","Winter_Run_LAD_Expanded_Salvage","Winter_Run_LAD_Loss","Winter_Run_Genetic_Expanded_Salvage","Winter_Run_Genetic_Loss"
2018-04-03 17:00:00,"SWP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",209,4,17.89,1,NA,NA,NA,NA,2018,4,17.89,0,0
2018-04-03 18:00:00,"CVP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",129,4,2.88,1,"C180885CVP","Fall/LateFall",0.991,"",2018,4,2.88,0,0
2018-04-05 21:00:00,"SWP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",208,4,17.72,1,"C180299SWP","Fall/LateFall",0.657,"",2018,4,17.72,0,0
2018-04-07 17:00:00,"SWP","Chinook Salmon","Unclipped","Spring",30,60,0.5,"Normal count",123,2,8.73,1,"C180545SWP","Winter",1,"",2018,0,0,2,8.73
2018-04-08 16:00:00,"SWP","Chinook Salmon","Unclipped","Winter",30,60,0.5,"Normal count",168,2,8.77,1,"C180595SWP","Fall/LateFall",0.999,"",2018,2,8.77,0,0
2018-04-10 22:00:00,"CVP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",174,4,2.88,1,NA,NA,NA,NA,2018,4,2.88,0,0
2018-05-12 22:00:00,"SWP","Chinook Salmon","Unclipped","Winter",NA,NA,NA,"Second flush",230,1,4.33,1,"C181905SWP","Fall/LateFall",0.999,"",2018,1,4.33,0,0
2018-05-15 14:45:00,"SWP","Chinook Salmon","Unclipped","Winter",NA,NA,NA,"Second flush",249,1,4.33,1,NA,NA,NA,NA,2018,1,4.33,0,0
2016-12-20 14:00:00,"CVP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",138,4,2.88,1,NA,NA,NA,NA,2017,4,2.88,0,0
2016-12-20 21:00:00,"SWP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",140,4,17.7,1,NA,NA,NA,NA,2017,4,17.7,0,0
